TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
01:19:52,0.155,0.167,0.207,4.232,8.427,12.625,32.661
01:19:53,0.155,0.168,0.202,4.231,8.440,12.639,32.674
01:19:54,0.155,0.167,0.208,4.236,8.360,12.639,32.939
01:19:55,0.155,0.170,0.194,4.238,8.449,12.639,32.667
01:19:56,0.155,0.168,0.193,4.238,8.449,12.583,32.763
01:19:57,0.154,0.167,0.194,4.237,8.436,12.652,32.722
01:19:58,0.155,0.170,0.191,4.237,8.440,12.646,32.722
01:19:59,0.153,0.166,0.198,4.264,8.436,12.632,33.225
01:20:00,0.154,0.170,0.191,4.237,8.440,12.646,32.878
01:20:01,0.153,0.167,0.205,4.233,8.422,12.597,32.654
01:20:02,0.155,0.170,0.196,4.241,8.445,12.625,32.722
01:20:03,0.154,0.170,0.213,4.235,8.440,12.646,32.797
01:20:04,0.154,0.170,0.137,4.233,8.449,12.618,32.919
01:20:05,0.154,0.170,0.198,4.236,8.427,12.625,32.708
01:20:06,0.154,0.169,0.190,4.238,8.449,12.652,32.695
01:20:07,0.153,0.170,0.199,4.232,8.427,12.632,32.640
01:20:08,0.153,0.170,0.194,4.238,8.333,12.646,32.647
01:20:09,0.154,0.166,0.182,4.237,8.436,12.632,32.735
01:20:10,0.154,0.170,0.191,4.238,8.449,12.646,33.014
01:20:11,0.153,0.170,0.198,4.244,8.440,12.646,32.681
01:20:12,0.153,0.169,0.190,4.241,8.436,12.625,32.654
01:20:13,0.153,0.168,0.165,4.233,8.449,12.646,32.674
01:20:14,0.153,0.169,0.166,4.233,8.440,12.618,32.627
01:20:15,0.153,0.168,0.189,4.238,8.440,12.646,32.633
01:20:16,0.153,0.170,0.198,4.233,8.431,12.639,32.742
01:20:17,0.153,0.166,0.242,4.233,8.449,12.646,32.633
01:20:18,0.153,0.168,0.133,4.236,8.436,12.625,32.695
01:20:19,0.153,0.168,0.170,4.242,8.427,12.625,32.681
01:20:20,0.153,0.166,0.193,4.233,8.431,12.639,32.831
01:20:21,0.153,0.163,0.201,4.232,8.436,12.632,32.681
01:20:22,0.153,0.165,0.165,4.235,8.436,12.632,32.708
01:20:23,0.153,0.166,0.193,4.237,8.440,12.652,32.681
01:20:24,0.153,0.164,0.196,4.232,8.440,12.646,33.232
01:20:25,0.153,0.167,0.191,4.235,8.449,12.646,32.844
01:20:26,0.153,0.166,0.198,4.236,8.449,12.646,32.790
01:20:27,0.153,0.168,0.192,4.238,8.440,12.625,32.722
01:20:28,0.153,0.170,0.154,4.235,8.440,12.632,32.722
01:20:29,0.153,0.165,0.328,4.232,8.440,12.646,32.817
01:20:30,0.153,0.166,0.190,4.236,8.449,12.646,32.817
01:20:31,0.152,0.165,0.196,4.233,8.449,12.639,32.776
01:20:32,0.153,0.170,0.194,4.231,8.431,12.646,32.742
01:20:33,0.152,0.168,0.191,4.239,8.445,12.625,32.633
01:20:34,0.153,0.228,0.235,4.236,8.449,12.646,32.674
01:20:35,0.152,0.164,0.290,4.236,8.436,12.652,32.681
01:20:36,0.152,0.166,0.172,4.235,8.440,12.639,32.688
01:20:37,0.152,0.162,0.203,4.235,8.440,12.625,32.695
01:20:38,0.153,0.167,0.199,4.231,8.409,12.632,32.763
01:20:39,0.153,0.166,0.190,4.235,8.449,12.652,32.797
01:20:40,0.152,0.165,0.261,4.233,8.449,12.639,32.790
01:20:41,0.151,0.165,0.193,4.237,8.445,12.646,32.742
01:20:42,0.153,0.170,0.198,4.233,8.440,12.639,32.722
01:20:43,0.151,0.164,0.200,4.230,8.449,12.639,32.735
01:20:44,0.151,0.168,0.144,4.236,8.449,12.618,32.797
01:20:45,0.150,0.165,0.188,4.233,8.449,12.639,32.742
01:20:46,0.153,0.165,0.198,4.236,8.436,12.652,32.885
01:20:47,0.150,0.162,0.173,4.235,8.440,12.639,32.790
